id	chr	start	end	strand	Length	Copies	Annotation/Divergence	../../rep1/tag-dirs/0-1uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/100uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/No-Peptide-24h-KAA-15-01-22 reads	0-1uM-PCC-24h-0-5uM-MEKi	0-1uM-PCC-24h	100uM-K99A-24h-0-5uM-MEKi	100uM-K99A-24h	10uM-K99A-24h-0-5uM-MEKi	10uM-K99A-24h	10uM-PCC-24h-0-5uM-MEKi	10uM-PCC-24h	No-Peptide-24h-0-5uM-MEKi	No-Peptide-24h	gene_name	pc1	pc2
NM_010880	chr1	86344719	86359455	-	8241.0	1	Ncl|B530004O11Rik|C23|D0Nds28|D1Nds28|Nucl|-|1 D|1 43.94 cM|protein-coding	298.74	228.102	147.328	326.834	71.047	165.204	133.872	89.97200000000001	133.806	37.718	49.031000000000006	176.71400000000003	183.667	26.750999999999998	31.791999999999998	Ncl	0.005983416751722551	0.019281770084525234
NM_013758	chr19	53143997	53247326	+	4243.0	1	Add3|AI463285|R75380|-|19 D2|19 47.18 cM|protein-coding	17.275	27.463	41.786	15.43	67.649	18.250999999999998	24.869	39.242	26.191999999999997	57.449	51.36600000000001	19.430999999999997	16.84	68.832	55.027	Add3	-0.0016197371957776708	-0.004080830762261289
NM_025664	chr17	5841380	5930711	+	2017.0	1	Snx9|2700073N08Rik|SDP1|SH3PX1|-|17 A1|17 3.51 cM|protein-coding	6.69	5.104	3.569	8.025	10.995999999999999	8.024	5.269	7.781000000000001	4.773	7.846	4.154	6.736000000000001	7.157	5.499	10.537	Snx9	-0.00010950463497068595	0.004409659784664375
NM_024204	chr19	34122549	34166041	-	1746.0	1	Ankrd22|5430429D21Rik|D19Ertd675e|-|19 C1|19 29.33 cM|protein-coding	1.7280000000000002	2.96	4.919	1.014	12.081	1.528	3.69	8.706	3.7060000000000004	28.570999999999998	22.092	1.321	1.025	28.979	26.807	Ankrd22	-0.001138052004465187	-0.00034945686158325715
NM_153521	chr4	116075465	116097043	+	2857.0	1	Lrrc41|AA409966|AW555107|D630045E04Rik|D730026A16Rik|MUF1|RP23-383D12.7|4 D1|4|protein-coding	28.912	28.263	24.107	28.505	16.141	24.608	24.704	18.991	24.296	14.999	13.847999999999999	26.274	29.611	13.325999999999999	13.857000000000001	Lrrc41	0.0006553548663504467	0.003129411813140813
NM_025523	chr3	51405479	51408955	-	408.0	1	Ndufc1|2310016K22Rik|KFYI|-|3|3 D|protein-coding	37.08	47.278	32.579	44.012	25.47	27.866999999999997	25.816	22.078000000000003	26.642	10.056000000000001	18.714000000000002	27.27	23.725	8.857999999999999	10.780999999999999	Ndufc1	0.0005719260755166483	-0.004563857696216686
NM_001159556	chr5	17781690	17849792	-	3382.0	1	Cd36|FAT|GPIV|Scarb3|-|5 A3|5 8.11 cM|protein-coding	2.02	2.286	2.044	1.506	11.343	2.864	3.24	6.784	3.3819999999999997	14.325999999999999	12.329	1.7590000000000001	1.621	14.482000000000001	33.524	Cd36	-0.0011677298894308163	0.009926751311235653
NR_028079	chr7	109520132	109520251	+	119.0	1	Snora3|MBI-28|-|7|7|snoRNA	16.904	13.591	9.28	14.27	4.343999999999999	32.66	9.088	10.645	18.704	19.154	9.166	19.82	11.755	0.0	3.323	Snora3	0.00037544690442055194	-0.003411255484812668
NM_177305	chr1	88698226	88702191	-	3963.0	1	Arl4c|A630084M22Rik|Arl7|LAK|-|1 D|1|protein-coding	11.981	16.643	24.748	10.776	42.202	14.769	15.045	19.889	16.157	18.273	18.315	12.071	10.377	24.135	27.212	Arl4c	-0.0005419496911320937	0.002457690598164546
NM_013701	chr1	88200611	88220002	+	3199.0	1	Ugt1a2|UDPGT 1-2|Ugt1|-|1 D|1|protein-coding	0.32799999999999996	1.492	2.634	0.52	9.681000000000001	1.433	2.146	8.58	3.0260000000000002	16.897000000000002	13.017999999999999	0.385	0.47200000000000003	19.965	19.683	Ugt1a2	-0.0007862987461433311	0.0017398241958298663
NM_011965	chr7	114264550	114276116	-	1243.0	1	Psma1|C2|HC2|Pros-30|alpha-type|-|7 F1|7 59.32 cM|protein-coding	122.08200000000001	123.639	95.71700000000001	141.81799999999998	58.562	93.94200000000001	92.26700000000001	74.96	90.615	55.11600000000001	56.12	108.73299999999999	96.32799999999999	36.394	43.619	Psma1	0.002288967599778279	-0.001326917805503503
NM_172574	chr12	16988648	17000118	-	1919.0	1	Pqlc3|C78076|E030024M05Rik|-|12 A1.1|12|protein-coding	6.747999999999999	11.140999999999998	11.061	6.571000000000001	24.866	11.577	13.452	20.426	12.785	30.746	29.866	10.847999999999999	7.377000000000001	36.431999999999995	33.945	Pqlc3	-0.0011070673540113157	-0.0017887558994011308
NM_029094	chr9	99038402	99140211	-	4828.0	1	Pik3cb|1110001J02Rik|AI447572|p110beta|-|9|9 E4|protein-coding	3.889	5.768	5.921	3.457	7.912999999999999	4.2410000000000005	5.122999999999999	8.075	4.921	14.649000000000001	12.004000000000001	4.556	3.361	14.39	15.581	Pik3cb	-0.0005040528009350878	0.0005715621946149492
NR_040409	chr3	96555768	96566801	-	1669.0	1	Gm15441|ENSMUSG00000074398|OTTMUSG00000021867|-|-|ncRNA	22.624000000000002	22.476999999999997	45.188	14.417	115.139	16.857	21.046	28.671999999999997	20.469	41.907	42.687	15.698	16.561	51.074	45.218999999999994	Gm15441	-0.0012822783435082405	-0.002513426126887588
NM_008621	chrX	75109733	75130949	-	2444.0	1	Mpp1|55kDa|C130070C03Rik|p55|RP23-62O13.2|X A7.3|X 38.15 cM|protein-coding	11.849	17.044	17.488	12.241	33.909	16.757	20.279	33.171	19.676	44.659	44.507	16.699	14.4	65.498	54.985	Mpp1	-0.0016983204303023759	0.0009807285041158783
NM_010435	chr16	18876750	18970308	+	4506.0	1	Hira|AA138857|D16Ertd95e|N28177|Tuple1|-|16 A-B1|16 11.69 cM|protein-coding	23.019000000000002	19.583	16.755	20.928	12.85	14.29	14.474	11.073	14.6	8.642999999999999	10.354000000000001	14.633	17.098	7.55	8.139	Hira	0.00034099574136782355	0.0002543801765954918
NM_175400	chr2	4881564	4910556	+	5307.0	1	Sephs1|1110046B24Rik|AA589574|AI505014|AW111620|SELD|SPS|SPS1|RP23-198G1.3|2 A1|2|protein-coding	12.398	12.665999999999999	10.466	12.513	7.247999999999999	9.641	9.445	8.328	9.217	5.154	6.138	9.198	10.448	3.9219999999999997	5.02	Sephs1	0.00022235655652330514	0.0001594521963501584
NM_001252506	chr16	23290470	23360350	+	4035.0	1	St6gal1|AW742324|Siat1|St6Gal-I|St6gal|St6galI|-|16 B1|16 14.03 cM|protein-coding	14.582	24.851	35.993	10.395999999999999	44.318999999999996	12.694	16.385	22.412	15.715	27.534000000000002	27.634	10.979000000000001	9.499	25.758000000000003	24.975	St6gal1	-0.0006518794322319073	-0.00526294092750926
NM_001008705	chr5	145140397	145148074	+	698.0	1	Bud31|C77604|EDG-2|EDG2|G10|-|5 G2|5|protein-coding	156.584	172.141	149.3	148.403	70.661	84.76799999999999	91.215	75.718	83.279	43.663999999999994	50.36	95.2	99.959	49.188	43.901	Bud31	0.0023578214065159485	0.005180149584266193
NM_026396	chr15	10474779	10485937	-	2642.0	1	Brix1|1110064N10Rik|Bxdc2|C76935|-|15 A1|15|protein-coding	63.449	53.003	34.876999999999995	63.577	17.160999999999998	37.435	30.88	22.854	33.580999999999996	9.096	11.297	40.385999999999996	40.894	6.627000000000001	7.857	Brix1	0.0013662114670027847	0.0037710497935584467
NM_201645	chr1	88211959	88220002	+	3222.0	1	Ugt1a1|Gnt1|UDPGT 1-1|UGT1A01|Udpgt-1a|UgtBr1|-|1 D|1 44.55 cM|protein-coding	0.325	1.4809999999999999	2.539	0.527	9.642999999999999	1.422	2.189	8.54	2.972	17.019000000000002	12.818	0.382	0.41700000000000004	20.035999999999998	19.695999999999998	Ugt1a1	-0.0007844708952252328	0.0018530055635719031
NM_008889	chr19	6975048	6977324	+	913.0	1	Ppp1r14b|AOM172|PHI-1|PLCB3N|Png|-|19 A|19|protein-coding	71.422	61.265	46.633	69.688	28.879	30.305999999999997	32.086	23.432	32.656	9.13	11.132	36.728	43.695	8.052999999999999	12.342	Ppp1r14b	0.00129560574237757	0.007370006234904788
NM_172149	chr17	26781079	26792521	+	1077.0	1	Bnip1|2010005M06Rik|5930429G21Rik|Sec20|RP24-335I14.1|17 A3.3|17|protein-coding	17.549	16.372	14.203	19.256	5.088	11.365	11.876	7.252999999999999	11.630999999999998	3.87	5.846	13.33	15.118	5.091	6.2410000000000005	Bnip1	0.0003634678505957215	0.0021621188448827477
NM_007972	chr8	13037308	13056676	+	2492.0	1	F10|Cf10|fX|-|8 A1.1|8 5.73 cM|protein-coding	6.071000000000001	12.299000000000001	11.685	5.495	38.525999999999996	21.834	23.115	40.186	23.741999999999997	39.879	28.768	17.468	13.651	38.082	50.118	F10	-0.00117717633762145	0.0070999168903588
NM_009438	chr7	45125563	45128745	-	1016.0	1	Rpl13a|1810026N22Rik|Tstap198-7|tum-antigen|-|7 B4|7 29.14 cM|protein-coding	883.818	784.2719999999999	733.368	846.678	578.413	497.235	462.171	401.603	463.31300000000005	200.498	245.893	529.635	640.4680000000001	218.21200000000002	208.641	Rpl13a	0.01626222372799474	0.07346103979964659
NM_172151	chr16	18220753	18235136	-	4855.0	1	Zdhhc8|D16H22S1738E|DHHC-8|E330009O14Rik|Op53c05|ZDHHCL1|-|16 A3|16 11.29 cM|protein-coding	9.685	9.092	10.564	8.558	8.253	10.597999999999999	9.86	9.002	10.48	6.6129999999999995	7.9239999999999995	11.415999999999999	12.977	5.596	5.945	Zdhhc8	0.0002419024414997171	0.0002985723186351718
NM_144525	chr5	30869647	30877467	+	2743.0	1	Tmem214|1110039B18Rik|4921530J21Rik|AI841294|AU018742|C76280|-|5 B1|5|protein-coding	36.988	32.515	30.775	33.72	24.125	26.730999999999998	25.011	22.808000000000003	24.721	15.931	17.135	27.814	29.250999999999998	12.88	14.054	Tmem214	0.0005897366770491723	0.0008697388279293769
NM_010705	chr14	47373860	47386167	+	1371.0	1	Lgals3|GBP|L-34|Mac-2|gal3|-|14 C1|14|protein-coding	22.680999999999997	59.961000000000006	84.42399999999999	17.815	326.939	47.599	70.27600000000001	171.854	70.036	268.711	236.358	37.062	30.771	343.55300000000005	420.51800000000003	Lgals3	-0.015144935137030503	0.0674883304854845
NM_024197	chr1	92439719	92473758	-	1197.0	1	Ndufa10|2900053E13Rik|-|1 D|1|protein-coding	75.483	64.789	56.787	74.524	38.569	54.713	50.361999999999995	43.33	53.751000000000005	23.122	28.041	63.481	64.318	14.992	22.09	Ndufa10	0.001685660856250767	0.004186046278316224
NM_152822	chrX	95935313	95956974	-	2598.0	1	Las1l|1810030A06Rik|5830482G23Rik|RP23-476N7.1|X C3|X|protein-coding	50.247	42.924	35.010999999999996	52.303999999999995	21.331999999999997	32.264	28.778000000000002	25.083000000000002	30.284000000000002	11.405	15.972999999999999	33.510999999999996	34.674	9.69	9.873	Las1l	0.0009970471135601377	0.0001465339490248632
NM_146251	chr2	24976033	25054072	+	4552.0	1	Pnpla7|BC027342|E430013P11Rik|Nre|RP23-226M2.4|2 A3|2|protein-coding	8.037	6.603	11.168	4.937	36.73	9.468	11.89	19.031	11.917	39.558	32.969	6.95	7.215	56.945	44.896	Pnpla7	-0.0015492061989517687	0.0024821832165113555
NM_175423	chr5	123015074	123030452	+	1867.0	1	Orai1|D730049H07Rik|Tmem142a|orai-1|-|5 F|5|protein-coding	143.793	152.335	139.58700000000002	132.155	103.15	96.87700000000001	102.45700000000001	107.352	98.479	64.077	70.212	104.99	125.449	44.122	51.118	Orai1	0.002714751068150819	0.002712154602410191
NM_020578	chr17	73804841	73832093	+	3650.0	1	Ehd3|Ehd2|-|17 E2|17 45.2 cM|protein-coding	8.083	14.514000000000001	21.38	4.999	20.198	5.4670000000000005	8.825	13.458	8.977	15.487	14.302999999999999	4.06	4.829	10.823	10.982000000000001	Ehd3	-0.0002615356515105313	-0.003989059406222407
NM_026981	chr2	126152141	126165277	+	1336.0	1	Dtwd1|1810033A06Rik|RP23-456N11.1|2|2 F2|protein-coding	13.017999999999999	9.005	9.245	13.710999999999999	2.9019999999999997	9.161	5.9479999999999995	5.689	5.462999999999999	2.242	2.301	8.673	10.261	2.612	2.294	Dtwd1	0.0002782289810137749	0.0021753215704989784
NM_011239	chr16	18239979	18248694	-	844.0	1	Ranbp1|Htf9a|-|16 A3|16 11.3 cM|protein-coding	293.802	261.54400000000004	153.808	298.67400000000004	76.692	151.274	132.153	96.723	135.6	28.086	39.416	175.628	190.52700000000002	21.263	26.936999999999998	Ranbp1	0.006478162427843347	0.02565137927275271
NM_001037747	chr2	26352312	26359547	-	1598.0	1	Card9|Gm782|RP23-306D20.2|2 A3|2|protein-coding	2.072	3.5789999999999997	6.398	1.9669999999999999	16.37	2.977	3.943	7.222	3.498	13.775	15.606	2.6630000000000003	1.085	19.340999999999998	18.403	Card9	-0.0007488053460829091	-0.0007377292863095844
NM_025321	chr1	171129157	171150603	-	1171.0	1	Sdhc|0610010E03Rik|AI316496|AU019277|-|1 H3|1|protein-coding	89.22	91.02	76.594	84.633	60.309	52.211999999999996	53.247	47.297	57.73	26.583000000000002	35.819	61.562	68.04	27.031999999999996	32.288000000000004	Sdhc	0.0013970233595357122	0.0052047635162156755
NM_183263	chr11	76243736	76250622	+	1486.0	1	Rnmtl1|4833420N02Rik|AI255153|HC90|RP23-147P4.7|11 B5|11|protein-coding	29.64	22.59	15.385	20.472	3.897	8.822000000000001	8.892000000000001	7.151	9.37	2.8489999999999998	1.868	9.627	10.317	2.097	1.364	Rnmtl1	0.000409312276571506	0.0009360742047785359
NM_026539	chr3	97560748	97610190	-	2964.0	1	Chd1l|4432404A22Rik|Alc1|Snf2p|-|3|3 F2|protein-coding	18.494	17.847	13.854000000000001	21.636999999999997	9.802999999999999	13.934000000000001	13.39	10.565999999999999	14.408	7.513999999999999	8.648	15.136	17.405	7.82	7.153	Chd1l	0.00039413589904593405	0.0011496921376132787
NR_110977	chr2	69871195	69885615	-	882.0	1	Mettl5|2810410A08Rik|mCG_12967|2|2 C3|protein-coding	57.065	47.452	35.613	56.038999999999994	24.384	39.001	29.002	21.064	31.28	19.271	21.023000000000003	34.647	33.749	9.607999999999999	8.349	Mettl5	0.0009470301556041151	-0.004472415846132137
NM_010499	chr8	84661331	84662852	-	1519.0	1	Ier2|AI317238|Ch1|Pip92|-|8 C3|8 41.02 cM|protein-coding	138.47	159.31799999999998	151.77700000000002	120.807	101.527	63.354	74.79	80.01100000000001	76.945	42.701	51.243	72.741	91.165	50.251000000000005	45.422	Ier2	0.0017831285194628255	0.005529084495040778
NM_170758	chr11	114890041	114904651	+	4633.0	1	Cd300a|B230315M08Rik|Clm8|LMIR1|MAIR-I|MAIR-Ia|MMAC8|Pigr4|mcpir1|RP23-254J18.3|11 E2|11 80.54 cM|protein-coding	1.493	2.546	3.487	0.8340000000000001	10.869000000000002	3.105	4.354	10.116	4.257	16.544	12.82	1.959	1.208	17.820999999999998	23.96	Cd300a	-0.0008554826296881594	0.0039433174549078215
NM_010848	chr10	21124930	21160984	-	3403.0	1	Myb|AI550390|M16449|c-myb|-|10 A3|10 9.75 cM|protein-coding	50.922	38.983000000000004	27.33	55.592	24.156	55.195	54.263000000000005	32.054	53.055	36.858000000000004	33.378	56.637	61.772	24.61	23.543000000000003	Myb	0.0015232579701504783	-5.3700410372470696e-05
NM_181406	chr4	34614958	34660167	+	1845.0	1	Rars2|1500002I10Rik|PRO1992|Rarsl|RP23-76M15.1|4 A5|4|protein-coding	15.355	12.720999999999998	9.576	17.311	6.249	11.57	11.24	8.353	9.735	5.4	3.87	12.533	9.886000000000001	4.526	2.411	Rars2	0.00036494677981803285	-0.00040521933351015836
NM_027156	chr5	110653451	110660496	+	4829.0	1	Ddx51|2310061O04Rik|AA537002|C81583|R75505|-|5 F|5|protein-coding	13.53	10.309000000000001	7.809	12.248	5.3420000000000005	10.450999999999999	8.696	6.718	8.929	3.978	4.446000000000001	9.206	10.857000000000001	3.5869999999999997	3.265	Ddx51	0.0003052307564724264	0.0006259028879263282
NM_025606	chr19	11770415	11774946	+	1118.0	1	Mrpl16|2310039D06Rik|-|19|19 B|protein-coding	46.706	47.208999999999996	32.083	55.358999999999995	16.230999999999998	28.796	23.343000000000004	20.08	23.983	8.33	12.106	35.266999999999996	33.481	6.187	6.985	Mrpl16	0.000974701763435999	0.0023632731394774395
NM_001110192	chr1	87620312	87720510	+	4908.0	1	Inpp5d|SHIP|SHIP-1|SHIP1|SIP-145|p150Ship|s-SHIP|-|1 C5|1 44.44 cM|protein-coding	13.158	16.822	19.991	14.186	35.109	17.941	22.956	28.362	20.945	41.916000000000004	37.184	17.215999999999998	16.04	49.044	47.56100000000001	Inpp5d	-0.0012355282527835704	0.0016888395311578826
NM_001160229	chrX	73342621	73359079	+	6276.0	1	Zfp275|5430431L06Rik|AI593314|DXBay20|DXHXS52|DXPas8|RP23-95K12.3|X A7.3|X 37.29 cM|protein-coding	12.327	13.732999999999999	13.62	12.734000000000002	7.282	14.4	14.251	12.873	14.062000000000001	8.156	9.827	15.114	14.657	5.917000000000001	6.371	Zfp275	0.00033947902402276485	-0.0012466045947755553
NM_020569	chr4	150897133	150909921	-	894.0	1	Park7|DJ-1|Dj1|RP23-272N19.5|4|4 E1|protein-coding	134.114	168.199	149.735	146.34	90.96600000000001	72.542	73.479	86.59	70.985	30.011999999999997	45.141999999999996	78.458	85.68	28.995	35.714	Park7	0.0019777122132154904	0.0029870043075437363
NR_038063	chr12	75630925	75631749	-	824.0	1	Rplp2-ps1|Gm7852|-|12 C3|12|pseudo	452.74699999999996	462.3	448.65	395.459	267.908	186.766	192.02700000000002	214.53799999999998	194.799	89.387	112.094	193.767	208.46	78.418	86.67200000000001	Rplp2-ps1	0.005253192313311066	0.0004193182862155318
NM_172394	chr11	70943058	70969973	-	2433.0	1	Nup88|Nup84|Prei2|DN-279H6.4|11 B4|11 43.21 cM|protein-coding	52.622	47.407	37.638000000000005	54.247	19.549	42.153	35.368	30.198	36.125	19.137999999999998	20.928	40.567	43.556000000000004	16.212	18.872	Nup88	0.0009941630436293666	0.0035367674963509028
NR_030547	chr2	122640803	122640881	+	78.0	1	Mir147|Mirn147|mmu-mir-147|-|2|2|ncRNA	68.235	359.57	493.412	72.72399999999999	51.699	45.365	102.485	232.77599999999998	119.45100000000001	96.85	134.752	67.04899999999999	43.04	39.943000000000005	73.502	Mir147	-0.0008372069631885899	-0.062902163002072
NM_028149	chr11	98082554	98149616	-	8590.0	1	Fbxl20|2610511F20Rik|4632423N09Rik|AI849362|AL117906|C86145|Fbl2|Scr|mKIAA4147|RP23-309H19.11-002|11 D|11|protein-coding	7.474	6.778	9.68	6.528	16.635	9.508	9.536	9.962	10.267999999999999	14.458	15.745	8.541	7.751	16.807000000000002	16.3	Fbxl20	-0.00036190714810476263	-0.001139204458336203
NM_010194	chr7	80377758	80387946	-	2741.0	1	Fes|AI586313|BB137047|FPS|c-fes|-|7 D3|7 45.65 cM|protein-coding	5.55	9.972999999999999	13.295	5.312	47.11600000000001	10.349	15.970999999999998	30.142	14.465	52.341	45.129	7.388999999999999	7.002000000000001	77.58800000000001	68.53699999999999	Fes	-0.0024425395248915066	0.006379188870774183
NM_010748	chr13	13590409	13777440	+	11751.0	1	Lyst|D13Sfk13|beige|bg|-|13 A1|13 5.28 cM|protein-coding	4.979	5.754	9.589	4.231	21.65	10.87	13.065	19.368	12.892999999999999	40.329	33.272	9.302999999999999	6.999	45.31100000000001	43.001999999999995	Lyst	-0.0014707548839515494	0.0008385232270989249
NM_023292	chr9	35559466	35567400	+	2006.0	1	Pus3|2610020J05Rik|5730412F04Rik|-|9|9 A5.3|protein-coding	27.388	25.721	20.898000000000003	23.432	10.644	16.859	16.596	13.612	19.275	9.512	9.936	20.729	16.875	6.15	5.322	Pus3	0.0005248746120270626	-0.002097191157531985
NM_027652	chr5	30232618	30272430	+	6757.0	1	Ept1|4933402G07Rik|AI448296|AI452230|C79563|D5Wsu178e|SELI|mKIAA1724|-|5 B1|5 16.22 cM|protein-coding	13.254000000000001	10.572000000000001	7.602	12.368	4.598	11.169	9.791	5.968	10.503	4.0089999999999995	4.601	10.767999999999999	11.841	2.7110000000000003	3.16	Ept1	0.0003647094562137427	0.00046740819120518265
NM_133810	chr1	53755512	53785215	-	3268.0	1	Stk17b|3110009A03Rik|AI120141|Drak2|-|1 C1.1|1|protein-coding	52.346000000000004	90.505	118.155	49.983000000000004	125.831	56.606	69.584	95.354	71.197	117.53299999999999	128.953	53.611000000000004	44.806000000000004	117.45299999999999	112.066	Stk17b	-0.003008350159157424	-0.025333764177838548
NR_003270	chr4	132351933	132353686	-	434.0	1	Snhg3|Rnu17d|U17HG|-|4 D2.3|4|ncRNA	32.734	21.359	18.565	49.367	12.627	26.331	24.160999999999998	17.675	22.660999999999998	16.506	10.395999999999999	33.67	25.011	14.07	8.312999999999999	Snhg3	0.0007582643880491894	0.0007843287693828824
NM_001301305	chr6	136923661	136941503	-	1139.0	1	Arhgdib|D4|Gdid4|Ly-GDI|-|6 G1|6|protein-coding	176.903	253.511	343.675	174.46599999999998	745.2610000000001	206.262	258.314	378.25300000000004	263.538	588.169	543.799	202.255	174.33900000000003	729.299	659.9989999999999	Arhgdib	-0.019957495752660877	-4.227475967227238e-05
NM_001015507	chr9	106821976	106880992	+	5367.0	1	Vprbp|AI447437|B930007L02Rik|mKIAA0800|-|9 F1|9|protein-coding	26.861	24.136999999999997	19.707	27.041999999999998	9.691	26.124000000000002	23.945	20.6	23.967	11.248	14.687999999999999	27.141	26.063000000000002	6.966	8.491	Vprbp	0.0007128516711021144	-0.0015889698812601967
